stockCode,stockName,sector,sectorCount,date
300590,移为通信,通信,127,2023-04-23
851,高鸿股份,通信,127,2023-04-23
301165,锐捷网络,通信,127,2023-04-23
601728,中国电信,通信,127,2023-04-23
600487,亨通光电,通信,127,2023-04-23
2792,通宇通讯,通信,127,2023-04-23
838924,广脉科技,通信,127,2023-04-23
2467,二六三,通信,127,2023-04-23
2897,意华股份,通信,127,2023-04-23
601869,长飞光纤,通信,127,2023-04-23
2796,世嘉科技,通信,127,2023-04-23
2123,梦网科技,通信,127,2023-04-23
600289,ST信通,通信,127,2023-04-23
300913,兆龙互连,通信,127,2023-04-23
300597,吉大通信,通信,127,2023-04-23
688027,国盾量子,通信,127,2023-04-23
2929,润建股份,通信,127,2023-04-23
300710,万隆光电,通信,127,2023-04-23
300513,恒实科技,通信,127,2023-04-23
600498,烽火通信,通信,127,2023-04-23
300711,广哈通信,通信,127,2023-04-23
600734,ST实达,通信,127,2023-04-23
832149,利尔达,通信,127,2023-04-23
839,ST国安,通信,127,2023-04-23
2583,海能达,通信,127,2023-04-23
600462,ST九有,通信,127,2023-04-23
300921,南凌科技,通信,127,2023-04-23
603220,中贝通信,通信,127,2023-04-23
300134,大富科技,通信,127,2023-04-23
600522,中天科技,通信,127,2023-04-23
586,汇源通信,通信,127,2023-04-23
688668,鼎通科技,通信,127,2023-04-23
600355,精伦电子,通信,127,2023-04-23
835640,富士达,通信,127,2023-04-23
300548,博创科技,通信,127,2023-04-23
688292,浩瀚深度,通信,127,2023-04-23
603322,超讯通信,通信,127,2023-04-23
2148,北纬科技,通信,127,2023-04-23
836,富通信息,通信,127,2023-04-23
600941,中国移动,通信,127,2023-04-23
603083,剑桥科技,通信,127,2023-04-23
971,ST高升,通信,127,2023-04-23
300053,欧比特,通信,127,2023-04-23
300050,世纪鼎利,通信,127,2023-04-23
301314,科瑞思,通信,127,2023-04-23
300310,宜通世纪,通信,127,2023-04-23
301380,挖金客,通信,127,2023-04-23
600345,长江通信,通信,127,2023-04-23
688283,坤恒顺维,通信,127,2023-04-23
603206,嘉环科技,通信,127,2023-04-23
688205,德科立,通信,127,2023-04-23
688182,灿勤科技,通信,127,2023-04-23
300638,广和通,通信,127,2023-04-23
872374,云里物里,通信,127,2023-04-23
301191,菲菱科思,通信,127,2023-04-23
900941,东信Ｂ股,通信,127,2023-04-23
300394,天孚通信,通信,127,2023-04-23
688100,威胜信息,通信,127,2023-04-23
300565,科信技术,通信,127,2023-04-23
300560,中富通,通信,127,2023-04-23
300563,神宇股份,通信,127,2023-04-23
300183,东软载波,通信,127,2023-04-23
688387,信科移动,通信,127,2023-04-23
688618,三旺通信,通信,127,2023-04-23
600105,永鼎股份,通信,127,2023-04-23
603118,共进股份,通信,127,2023-04-23
300628,亿联网络,通信,127,2023-04-23
300627,华测导航,通信,127,2023-04-23
300959,线上线下,通信,127,2023-04-23
688080,映翰通,通信,127,2023-04-23
300620,光库科技,通信,127,2023-04-23
300555,ST路通,通信,127,2023-04-23
300205,天喻信息,通信,127,2023-04-23
300081,恒信东方,通信,127,2023-04-23
600776,东方通信,通信,127,2023-04-23
300698,万马科技,通信,127,2023-04-23
600775,南京熊猫,通信,127,2023-04-23
300615,欣天科技,通信,127,2023-04-23
889,ST中嘉,通信,127,2023-04-23
301139,元道通信,通信,127,2023-04-23
300308,中际旭创,通信,127,2023-04-23
688418,震有科技,通信,127,2023-04-23
2544,普天科技,通信,127,2023-04-23
688313,仕佳光子,通信,127,2023-04-23
3040,楚天龙,通信,127,2023-04-23
603421,鼎信通讯,通信,127,2023-04-23
2902,铭普光磁,通信,127,2023-04-23
603803,瑞斯康达,通信,127,2023-04-23
300689,澄天伟业,通信,127,2023-04-23
301205,联特科技,通信,127,2023-04-23
2089,*ST新海,通信,127,2023-04-23
300211,亿通科技,通信,127,2023-04-23
300213,佳讯飞鸿,通信,127,2023-04-23
63,中兴通讯,通信,127,2023-04-23
2104,恒宝股份,通信,127,2023-04-23
600198,大唐电信,通信,127,2023-04-23
300603,立昂技术,通信,127,2023-04-23
2281,光迅科技,通信,127,2023-04-23
2017,东信和平,通信,127,2023-04-23
600050,中国联通,通信,127,2023-04-23
300504,天邑股份,通信,127,2023-04-23
300414,中光防雷,通信,127,2023-04-23
688159,有方科技,通信,127,2023-04-23
300502,新易盛,通信,127,2023-04-23
603236,移远通信,通信,127,2023-04-23
600804,ST鹏博士,通信,127,2023-04-23
300025,华星创业,通信,127,2023-04-23
3031,中瓷电子,通信,127,2023-04-23
301419,阿莱德,通信,127,2023-04-23
300292,吴通控股,通信,127,2023-04-23
300571,平治信息,通信,127,2023-04-23
688143,长盈通,通信,127,2023-04-23
300578,会畅通讯,通信,127,2023-04-23
2313,*ST日海,通信,127,2023-04-23
300353,东土科技,通信,127,2023-04-23
2296,辉煌科技,通信,127,2023-04-23
603559,中通国脉,通信,127,2023-04-23
70,特发信息,通信,127,2023-04-23
2491,通鼎互联,通信,127,2023-04-23
2115,三维通信,通信,127,2023-04-23
2093,国脉科技,通信,127,2023-04-23
2194,武汉凡谷,通信,127,2023-04-23
300570,太辰光,通信,127,2023-04-23
603602,纵横通信,通信,127,2023-04-23
603042,华脉科技,通信,127,2023-04-23
2908,德生科技,通信,127,2023-04-23
2396,星网锐捷,通信,127,2023-04-23
