stockCode,stockName,sector,sectorCount,date
600637,东方明珠,电子竞技,32,2023-04-23
600986,浙文互联,电子竞技,32,2023-04-23
600358,国旅联合,电子竞技,32,2023-04-23
2602,世纪华通,电子竞技,32,2023-04-23
600633,浙数文化,电子竞技,32,2023-04-23
2624,完美世界,电子竞技,32,2023-04-23
300052,中青宝,电子竞技,32,2023-04-23
2577,雷柏科技,电子竞技,32,2023-04-23
2558,巨人网络,电子竞技,32,2023-04-23
2517,恺英网络,电子竞技,32,2023-04-23
2280,联络互动,电子竞技,32,2023-04-23
725,京东方Ａ,电子竞技,32,2023-04-23
300336,*ST新文,电子竞技,32,2023-04-23
600880,博瑞传播,电子竞技,32,2023-04-23
603258,电魂网络,电子竞技,32,2023-04-23
300315,掌趣科技,电子竞技,32,2023-04-23
300144,宋城演艺,电子竞技,32,2023-04-23
2356,赫美集团,电子竞技,32,2023-04-23
2174,游族网络,电子竞技,32,2023-04-23
601588,北辰实业,电子竞技,32,2023-04-23
2354,天娱数科,电子竞技,32,2023-04-23
300027,华谊兄弟,电子竞技,32,2023-04-23
300494,盛天网络,电子竞技,32,2023-04-23
58,深赛格,电子竞技,32,2023-04-23
300043,星辉娱乐,电子竞技,32,2023-04-23
727,冠捷科技,电子竞技,32,2023-04-23
2027,分众传媒,电子竞技,32,2023-04-23
558,莱茵体育,电子竞技,32,2023-04-23
2024,ST易购,电子竞技,32,2023-04-23
301011,华立科技,电子竞技,32,2023-04-23
300113,顺网科技,电子竞技,32,2023-04-23
600060,海信视像,电子竞技,32,2023-04-23
