stockCode,stockName,sector,sectorCount,date
2073,软控股份,传感器,81,2023-06-24
603158,腾龙股份,传感器,81,2023-06-24
300667,必创科技,传感器,81,2023-06-24
688689,银河微电,传感器,81,2023-06-24
688172,燕东微,传感器,81,2023-06-24
688511,天微电子,传感器,81,2023-06-24
2860,星帅尔,传感器,81,2023-06-24
688380,中微半导,传感器,81,2023-06-24
603118,共进股份,传感器,81,2023-06-24
300286,安科瑞,传感器,81,2023-06-24
2079,苏州固锝,传感器,81,2023-06-24
600206,有研新材,传感器,81,2023-06-24
688582,芯动联科,传感器,81,2023-06-24
603610,麒盛科技,传感器,81,2023-06-24
688135,利扬芯片,传感器,81,2023-06-24
2655,共达电声,传感器,81,2023-06-24
2138,顺络电子,传感器,81,2023-06-24
300473,德尔股份,传感器,81,2023-06-24
300516,久之洋,传感器,81,2023-06-24
300514,友讯达,传感器,81,2023-06-24
430556,雅达股份,传感器,81,2023-06-24
603266,天龙股份,传感器,81,2023-06-24
300007,汉威科技,传感器,81,2023-06-24
901,航天科技,传感器,81,2023-06-24
603160,汇顶科技,传感器,81,2023-06-24
603121,华培动力,传感器,81,2023-06-24
300557,理工光科,传感器,81,2023-06-24
688396,华润微,传感器,81,2023-06-24
688061,灿瑞科技,传感器,81,2023-06-24
300897,山科智能,传感器,81,2023-06-24
988,华工科技,传感器,81,2023-06-24
300445,康斯特,传感器,81,2023-06-24
603197,保隆科技,传感器,81,2023-06-24
688595,芯海科技,传感器,81,2023-06-24
300349,金卡智能,传感器,81,2023-06-24
2937,兴瑞科技,传感器,81,2023-06-24
300279,和晶科技,传感器,81,2023-06-24
688296,和达科技,传感器,81,2023-06-24
603986,兆易创新,传感器,81,2023-06-24
2241,歌尔股份,传感器,81,2023-06-24
300701,森霸传感,传感器,81,2023-06-24
301388,欣灵电气,传感器,81,2023-06-24
688665,四方光电,传感器,81,2023-06-24
300211,亿通科技,传感器,81,2023-06-24
688213,思特威,传感器,81,2023-06-24
830879,基康仪器,传感器,81,2023-06-24
688728,格科微,传感器,81,2023-06-24
605365,立达信,传感器,81,2023-06-24
688322,奥比中光,传感器,81,2023-06-24
603662,柯力传感,传感器,81,2023-06-24
2011,盾安环境,传感器,81,2023-06-24
3005,竞业达,传感器,81,2023-06-24
301008,宏昌科技,传感器,81,2023-06-24
600742,一汽富维,传感器,81,2023-06-24
688052,纳芯微,传感器,81,2023-06-24
688051,佳华科技,传感器,81,2023-06-24
688661,和林微纳,传感器,81,2023-06-24
688469,中芯集成,传感器,81,2023-06-24
300417,南华仪器,传感器,81,2023-06-24
300507,苏奥传感,传感器,81,2023-06-24
300889,爱克股份,传感器,81,2023-06-24
603501,韦尔股份,传感器,81,2023-06-24
300632,光莆股份,传感器,81,2023-06-24
688539,高华科技,传感器,81,2023-06-24
688286,敏芯股份,传感器,81,2023-06-24
832491,奥迪威,传感器,81,2023-06-24
688208,道通科技,传感器,81,2023-06-24
688002,睿创微纳,传感器,81,2023-06-24
300354,东华测试,传感器,81,2023-06-24
2414,高德红外,传感器,81,2023-06-24
823,超声电子,传感器,81,2023-06-24
2298,中电兴发,传感器,81,2023-06-24
603286,日盈电子,传感器,81,2023-06-24
688187,时代电气,传感器,81,2023-06-24
2456,欧菲光,传感器,81,2023-06-24
603005,晶方科技,传感器,81,2023-06-24
300259,新天科技,传感器,81,2023-06-24
872374,云里物里,传感器,81,2023-06-24
300112,万讯自控,传感器,81,2023-06-24
688623,双元科技,传感器,81,2023-06-24
2214,大立科技,传感器,81,2023-06-24
300114,中航电测,传感器,81,2023-06-24
