stockCode,stockName,sector,sectorCount,date
2268,电科网安,VPN,23,2023-06-24
2757,南兴股份,VPN,23,2023-06-24
300494,盛天网络,VPN,23,2023-06-24
603019,中科曙光,VPN,23,2023-06-24
300352,北信源,VPN,23,2023-06-24
600602,云赛智联,VPN,23,2023-06-24
2439,启明星辰,VPN,23,2023-06-24
2467,二六三,VPN,23,2023-06-24
300369,绿盟科技,VPN,23,2023-06-24
971,ST高升,VPN,23,2023-06-24
300311,任子行,VPN,23,2023-06-24
601789,宁波建工,VPN,23,2023-06-24
300383,光环新网,VPN,23,2023-06-24
300921,南凌科技,VPN,23,2023-06-24
300768,迪普科技,VPN,23,2023-06-24
300175,朗源股份,VPN,23,2023-06-24
2238,天威视讯,VPN,23,2023-06-24
688158,优刻得,VPN,23,2023-06-24
688030,山石网科,VPN,23,2023-06-24
300454,深信服,VPN,23,2023-06-24
600804,ST鹏博士,VPN,23,2023-06-24
2212,天融信,VPN,23,2023-06-24
300297,*ST蓝盾,VPN,23,2023-06-24
