stockCode,stockName,sector,sectorCount,date
1,平安银行,跨境支付,36,2023-06-24
600415,小商品城,跨境支付,36,2023-06-24
300663,科蓝软件,跨境支付,36,2023-06-24
600571,信雅达,跨境支付,36,2023-06-24
600016,民生银行,跨境支付,36,2023-06-24
601988,中国银行,跨境支付,36,2023-06-24
600015,华夏银行,跨境支付,36,2023-06-24
300542,新晨科技,跨境支付,36,2023-06-24
600036,招商银行,跨境支付,36,2023-06-24
300180,华峰超纤,跨境支付,36,2023-06-24
601166,兴业银行,跨境支付,36,2023-06-24
2987,京北方,跨境支付,36,2023-06-24
2537,海联金汇,跨境支付,36,2023-06-24
601288,农业银行,跨境支付,36,2023-06-24
948,南天信息,跨境支付,36,2023-06-24
617,中油资本,跨境支付,36,2023-06-24
601398,工商银行,跨境支付,36,2023-06-24
300130,新国都,跨境支付,36,2023-06-24
301236,软通动力,跨境支付,36,2023-06-24
300379,东方通,跨境支付,36,2023-06-24
300674,宇信科技,跨境支付,36,2023-06-24
688201,信安世纪,跨境支付,36,2023-06-24
301171,易点天下,跨境支付,36,2023-06-24
600811,东方集团,跨境支付,36,2023-06-24
300872,天阳科技,跨境支付,36,2023-06-24
600000,浦发银行,跨境支付,36,2023-06-24
601328,交通银行,跨境支付,36,2023-06-24
601939,建设银行,跨境支付,36,2023-06-24
300348,长亮科技,跨境支付,36,2023-06-24
300468,四方精创,跨境支付,36,2023-06-24
2647,仁东控股,跨境支付,36,2023-06-24
688590,新致软件,跨境支付,36,2023-06-24
300465,高伟达,跨境支付,36,2023-06-24
2065,东华软件,跨境支付,36,2023-06-24
300773,拉卡拉,跨境支付,36,2023-06-24
600839,四川长虹,跨境支付,36,2023-06-24
