stockCode,stockName,sector,sectorCount,date
2129,TCL中环,IGBT概念,36,2023-08-20
603290,斯达半导,IGBT概念,36,2023-08-20
600360,华微电子,IGBT概念,36,2023-08-20
600171,上海贝岭,IGBT概念,36,2023-08-20
2594,比亚迪,IGBT概念,36,2023-08-20
300623,捷捷微电,IGBT概念,36,2023-08-20
600745,闻泰科技,IGBT概念,36,2023-08-20
300594,朗进科技,IGBT概念,36,2023-08-20
301499,维科精密,IGBT概念,36,2023-08-20
603212,赛伍技术,IGBT概念,36,2023-08-20
601766,中国中车,IGBT概念,36,2023-08-20
300506,名家汇,IGBT概念,36,2023-08-20
3031,中瓷电子,IGBT概念,36,2023-08-20
605111,新洁能,IGBT概念,36,2023-08-20
603266,天龙股份,IGBT概念,36,2023-08-20
2131,利欧股份,IGBT概念,36,2023-08-20
688261,东微半导,IGBT概念,36,2023-08-20
300046,台基股份,IGBT概念,36,2023-08-20
300656,民德电子,IGBT概念,36,2023-08-20
300831,派瑞股份,IGBT概念,36,2023-08-20
56,皇庭国际,IGBT概念,36,2023-08-20
603936,博敏电子,IGBT概念,36,2023-08-20
688187,时代电气,IGBT概念,36,2023-08-20
600584,长电科技,IGBT概念,36,2023-08-20
688711,宏微科技,IGBT概念,36,2023-08-20
600406,国电南瑞,IGBT概念,36,2023-08-20
300373,扬杰科技,IGBT概念,36,2023-08-20
733,振华科技,IGBT概念,36,2023-08-20
688396,华润微,IGBT概念,36,2023-08-20
688551,科威尔,IGBT概念,36,2023-08-20
600460,士兰微,IGBT概念,36,2023-08-20
581,威孚高科,IGBT概念,36,2023-08-20
688022,瀚川智能,IGBT概念,36,2023-08-20
300303,聚飞光电,IGBT概念,36,2023-08-20
2049,紫光国微,IGBT概念,36,2023-08-20
601616,广电电气,IGBT概念,36,2023-08-20
