stockCode,stockName,sector,sectorCount,date
603677,奇精机械,股权转让,21,2023-08-20
600149,廊坊发展,股权转让,21,2023-08-20
300290,荣科科技,股权转让,21,2023-08-20
300495,*ST美尚,股权转让,21,2023-08-20
300205,天喻信息,股权转让,21,2023-08-20
300270,中威电子,股权转让,21,2023-08-20
2159,三特索道,股权转让,21,2023-08-20
2348,高乐股份,股权转让,21,2023-08-20
2490,山东墨龙,股权转让,21,2023-08-20
2817,黄山胶囊,股权转让,21,2023-08-20
702,正虹科技,股权转让,21,2023-08-20
2024,ST易购,股权转让,21,2023-08-20
711,*ST京蓝,股权转让,21,2023-08-20
2022,科华生物,股权转让,21,2023-08-20
2005,ST德豪,股权转让,21,2023-08-20
603117,ST万林,股权转让,21,2023-08-20
531,穗恒运Ａ,股权转让,21,2023-08-20
428,华天酒店,股权转让,21,2023-08-20
600052,东望时代,股权转让,21,2023-08-20
300239,东宝生物,股权转让,21,2023-08-20
300393,中来股份,股权转让,21,2023-08-20
