stockCode,stockName,sector,sectorCount,date
300703,创源股份,世界杯,19,2023-08-20
600136,*ST明诚,世界杯,19,2023-08-20
2739,万达电影,世界杯,19,2023-08-20
603189,网达软件,世界杯,19,2023-08-20
2342,巨力索具,世界杯,19,2023-08-20
688109,品茗科技,世界杯,19,2023-08-20
300860,锋尚文化,世界杯,19,2023-08-20
300043,星辉娱乐,世界杯,19,2023-08-20
600941,中国移动,世界杯,19,2023-08-20
921,海信家电,世界杯,19,2023-08-20
2454,松芝股份,世界杯,19,2023-08-20
2035,华帝股份,世界杯,19,2023-08-20
300232,洲明科技,世界杯,19,2023-08-20
600496,精工钢构,世界杯,19,2023-08-20
2587,奥拓电子,世界杯,19,2023-08-20
600066,宇通客车,世界杯,19,2023-08-20
2878,元隆雅图,世界杯,19,2023-08-20
600686,金龙汽车,世界杯,19,2023-08-20
600060,海信视像,世界杯,19,2023-08-20
