stockCode,stockName,sector,sectorCount,date
2073,软控股份,传感器,80,2023-05-31
603158,腾龙股份,传感器,80,2023-05-31
300667,必创科技,传感器,80,2023-05-31
688689,银河微电,传感器,80,2023-05-31
688172,燕东微,传感器,80,2023-05-31
688511,天微电子,传感器,80,2023-05-31
2860,星帅尔,传感器,80,2023-05-31
688380,中微半导,传感器,80,2023-05-31
603118,共进股份,传感器,80,2023-05-31
300286,安科瑞,传感器,80,2023-05-31
2079,苏州固锝,传感器,80,2023-05-31
600206,有研新材,传感器,80,2023-05-31
603610,麒盛科技,传感器,80,2023-05-31
688135,利扬芯片,传感器,80,2023-05-31
2655,共达电声,传感器,80,2023-05-31
2138,顺络电子,传感器,80,2023-05-31
300473,德尔股份,传感器,80,2023-05-31
300516,久之洋,传感器,80,2023-05-31
300514,友讯达,传感器,80,2023-05-31
430556,雅达股份,传感器,80,2023-05-31
603266,天龙股份,传感器,80,2023-05-31
300007,汉威科技,传感器,80,2023-05-31
901,航天科技,传感器,80,2023-05-31
603160,汇顶科技,传感器,80,2023-05-31
603121,华培动力,传感器,80,2023-05-31
300557,理工光科,传感器,80,2023-05-31
688396,华润微,传感器,80,2023-05-31
688061,灿瑞科技,传感器,80,2023-05-31
300897,山科智能,传感器,80,2023-05-31
988,华工科技,传感器,80,2023-05-31
300445,康斯特,传感器,80,2023-05-31
603197,保隆科技,传感器,80,2023-05-31
688595,芯海科技,传感器,80,2023-05-31
300349,金卡智能,传感器,80,2023-05-31
2937,兴瑞科技,传感器,80,2023-05-31
300279,和晶科技,传感器,80,2023-05-31
688296,和达科技,传感器,80,2023-05-31
603986,兆易创新,传感器,80,2023-05-31
2241,歌尔股份,传感器,80,2023-05-31
300701,森霸传感,传感器,80,2023-05-31
301388,欣灵电气,传感器,80,2023-05-31
688665,四方光电,传感器,80,2023-05-31
300211,亿通科技,传感器,80,2023-05-31
688213,思特威,传感器,80,2023-05-31
830879,基康仪器,传感器,80,2023-05-31
688728,格科微,传感器,80,2023-05-31
605365,立达信,传感器,80,2023-05-31
688322,奥比中光,传感器,80,2023-05-31
603662,柯力传感,传感器,80,2023-05-31
2011,盾安环境,传感器,80,2023-05-31
3005,竞业达,传感器,80,2023-05-31
301008,宏昌科技,传感器,80,2023-05-31
600742,一汽富维,传感器,80,2023-05-31
688052,纳芯微,传感器,80,2023-05-31
688051,佳华科技,传感器,80,2023-05-31
688661,和林微纳,传感器,80,2023-05-31
688469,中芯集成,传感器,80,2023-05-31
300417,南华仪器,传感器,80,2023-05-31
300507,苏奥传感,传感器,80,2023-05-31
300889,爱克股份,传感器,80,2023-05-31
603501,韦尔股份,传感器,80,2023-05-31
300632,光莆股份,传感器,80,2023-05-31
688539,高华科技,传感器,80,2023-05-31
688286,敏芯股份,传感器,80,2023-05-31
832491,奥迪威,传感器,80,2023-05-31
688208,道通科技,传感器,80,2023-05-31
688002,睿创微纳,传感器,80,2023-05-31
300354,东华测试,传感器,80,2023-05-31
2414,高德红外,传感器,80,2023-05-31
823,超声电子,传感器,80,2023-05-31
2298,中电兴发,传感器,80,2023-05-31
603286,日盈电子,传感器,80,2023-05-31
688187,时代电气,传感器,80,2023-05-31
2456,欧菲光,传感器,80,2023-05-31
603005,晶方科技,传感器,80,2023-05-31
300259,新天科技,传感器,80,2023-05-31
872374,云里物里,传感器,80,2023-05-31
300112,万讯自控,传感器,80,2023-05-31
688623,双元科技,传感器,80,2023-05-31
2214,大立科技,传感器,80,2023-05-31
300114,中航电测,传感器,80,2023-05-31
