stockCode,stockName,sector,sectorCount,date
688025,杰普特,钙钛矿电池,19,2023-05-31
300585,奥联电子,钙钛矿电池,19,2023-05-31
2309,ST中利,钙钛矿电池,19,2023-05-31
600438,通威股份,钙钛矿电池,19,2023-05-31
600477,杭萧钢构,钙钛矿电池,19,2023-05-31
301325,曼恩斯特,钙钛矿电池,19,2023-05-31
2329,皇氏集团,钙钛矿电池,19,2023-05-31
821,京山轻机,钙钛矿电池,19,2023-05-31
300724,捷佳伟创,钙钛矿电池,19,2023-05-31
2218,拓日新能,钙钛矿电池,19,2023-05-31
2643,万润股份,钙钛矿电池,19,2023-05-31
600586,金晶科技,钙钛矿电池,19,2023-05-31
2514,宝馨科技,钙钛矿电池,19,2023-05-31
300118,东方日升,钙钛矿电池,19,2023-05-31
2534,西子洁能,钙钛矿电池,19,2023-05-31
300758,七彩化学,钙钛矿电池,19,2023-05-31
300263,隆华科技,钙钛矿电池,19,2023-05-31
300252,金信诺,钙钛矿电池,19,2023-05-31
300393,中来股份,钙钛矿电池,19,2023-05-31
