stockCode,stockName,sector,sectorCount,date
301365,矩阵股份,建筑装饰,167,2023-05-31
601868,中国能建,建筑装饰,167,2023-05-31
2620,瑞和股份,建筑装饰,167,2023-05-31
835857,百甲科技,建筑装饰,167,2023-05-31
2469,三维化学,建筑装饰,167,2023-05-31
2323,雅博股份,建筑装饰,167,2023-05-31
603153,上海建科,建筑装饰,167,2023-05-31
603017,中衡设计,建筑装饰,167,2023-05-31
2325,洪涛股份,建筑装饰,167,2023-05-31
300668,杰恩设计,建筑装饰,167,2023-05-31
600039,四川路桥,建筑装饰,167,2023-05-31
301167,建研设计,建筑装饰,167,2023-05-31
603018,华设集团,建筑装饰,167,2023-05-31
600477,杭萧钢构,建筑装饰,167,2023-05-31
2628,成都路桥,建筑装饰,167,2023-05-31
600284,浦东建设,建筑装饰,167,2023-05-31
600868,梅雁吉祥,建筑装饰,167,2023-05-31
2593,日上集团,建筑装饰,167,2023-05-31
603860,中公高科,建筑装饰,167,2023-05-31
2822,中装建设,建筑装饰,167,2023-05-31
601668,中国建筑,建筑装饰,167,2023-05-31
601669,中国电建,建筑装饰,167,2023-05-31
600133,东湖高新,建筑装饰,167,2023-05-31
1267,汇绿生态,建筑装饰,167,2023-05-31
2789,建艺集团,建筑装饰,167,2023-05-31
2062,宏润建设,建筑装饰,167,2023-05-31
603955,大千生态,建筑装饰,167,2023-05-31
600939,重庆建工,建筑装饰,167,2023-05-31
300517,海波重科,建筑装饰,167,2023-05-31
2883,中设股份,建筑装饰,167,2023-05-31
2061,浙江交科,建筑装饰,167,2023-05-31
603098,森特股份,建筑装饰,167,2023-05-31
603163,圣晖集成,建筑装饰,167,2023-05-31
600321,正源股份,建筑装饰,167,2023-05-31
2781,*ST奇信,建筑装饰,167,2023-05-31
2135,东南网架,建筑装饰,167,2023-05-31
300712,永福股份,建筑装饰,167,2023-05-31
603637,镇海股份,建筑装饰,167,2023-05-31
779,甘咨询,建筑装饰,167,2023-05-31
603959,百利科技,建筑装饰,167,2023-05-31
605289,罗曼股份,建筑装饰,167,2023-05-31
600491,龙元建设,建筑装饰,167,2023-05-31
2504,*ST弘高,建筑装饰,167,2023-05-31
600496,精工钢构,建筑装饰,167,2023-05-31
601068,中铝国际,建筑装饰,167,2023-05-31
605287,德才股份,建筑装饰,167,2023-05-31
2586,*ST围海,建筑装饰,167,2023-05-31
600667,太极实业,建筑装饰,167,2023-05-31
2830,名雕股份,建筑装饰,167,2023-05-31
628,高新发展,建筑装饰,167,2023-05-31
603176,汇通集团,建筑装饰,167,2023-05-31
601886,江河集团,建筑装饰,167,2023-05-31
301046,能辉科技,建筑装饰,167,2023-05-31
2743,富煌钢构,建筑装饰,167,2023-05-31
2051,中工国际,建筑装饰,167,2023-05-31
300844,山水比德,建筑装饰,167,2023-05-31
300649,杭州园林,建筑装饰,167,2023-05-31
300746,汉嘉设计,建筑装饰,167,2023-05-31
2775,文科园林,建筑装饰,167,2023-05-31
603843,正平股份,建筑装饰,167,2023-05-31
601789,宁波建工,建筑装饰,167,2023-05-31
2140,东华科技,建筑装饰,167,2023-05-31
601800,中国交建,建筑装饰,167,2023-05-31
3001,中岩大地,建筑装饰,167,2023-05-31
2941,新疆交建,建筑装饰,167,2023-05-31
603909,建发合诚,建筑装饰,167,2023-05-31
301058,中粮科工,建筑装饰,167,2023-05-31
300536,农尚环境,建筑装饰,167,2023-05-31
603979,金诚信,建筑装饰,167,2023-05-31
300732,设研院,建筑装饰,167,2023-05-31
2949,华阳国际,建筑装饰,167,2023-05-31
32,深桑达Ａ,建筑装饰,167,2023-05-31
300197,节能铁汉,建筑装饰,167,2023-05-31
2761,浙江建投,建筑装饰,167,2023-05-31
603007,ST花王,建筑装饰,167,2023-05-31
300635,中达安,建筑装饰,167,2023-05-31
2811,郑中设计,建筑装饰,167,2023-05-31
2564,天沃科技,建筑装饰,167,2023-05-31
300117,嘉寓股份,建筑装饰,167,2023-05-31
601133,柏诚股份,建筑装饰,167,2023-05-31
300949,奥雅股份,建筑装饰,167,2023-05-31
300948,冠中生态,建筑装饰,167,2023-05-31
603458,勘设股份,建筑装饰,167,2023-05-31
603316,诚邦股份,建筑装饰,167,2023-05-31
600853,龙建股份,建筑装饰,167,2023-05-31
2047,宝鹰股份,建筑装饰,167,2023-05-31
301390,经纬股份,建筑装饰,167,2023-05-31
605167,利柏特,建筑装饰,167,2023-05-31
498,山东路桥,建筑装饰,167,2023-05-31
300564,筑博设计,建筑装饰,167,2023-05-31
2163,海南发展,建筑装饰,167,2023-05-31
603929,亚翔集成,建筑装饰,167,2023-05-31
300284,苏交科,建筑装饰,167,2023-05-31
603828,柯利达,建筑装饰,167,2023-05-31
601226,华电重工,建筑装饰,167,2023-05-31
300384,三联虹普,建筑装饰,167,2023-05-31
300826,测绘股份,建筑装饰,167,2023-05-31
833873,中设咨询,建筑装饰,167,2023-05-31
605178,时空科技,建筑装饰,167,2023-05-31
600170,上海建工,建筑装饰,167,2023-05-31
2963,豪尔赛,建筑装饰,167,2023-05-31
600820,隧道股份,建筑装饰,167,2023-05-31
603778,乾景园林,建筑装饰,167,2023-05-31
605303,园林股份,建筑装饰,167,2023-05-31
301027,华蓝集团,建筑装饰,167,2023-05-31
603388,元成股份,建筑装饰,167,2023-05-31
600248,陕西建工,建筑装饰,167,2023-05-31
300621,维业股份,建筑装饰,167,2023-05-31
301024,霍普股份,建筑装饰,167,2023-05-31
836892,广咨国际,建筑装饰,167,2023-05-31
603717,天域生态,建筑装饰,167,2023-05-31
601117,中国化学,建筑装饰,167,2023-05-31
600629,华建集团,建筑装饰,167,2023-05-31
2431,棕榈股份,建筑装饰,167,2023-05-31
603815,交建股份,建筑装饰,167,2023-05-31
10,美丽生态,建筑装饰,167,2023-05-31
600970,中材国际,建筑装饰,167,2023-05-31
601390,中国中铁,建筑装饰,167,2023-05-31
601611,中国核建,建筑装饰,167,2023-05-31
301136,招标股份,建筑装饰,167,2023-05-31
301038,深水规院,建筑装饰,167,2023-05-31
3013,地铁设计,建筑装饰,167,2023-05-31
2375,亚厦股份,建筑装饰,167,2023-05-31
159,国际实业,建筑装饰,167,2023-05-31
601618,中国中冶,建筑装饰,167,2023-05-31
2541,鸿路钢构,建筑装饰,167,2023-05-31
2542,中化岩土,建筑装饰,167,2023-05-31
836149,旭杰科技,建筑装饰,167,2023-05-31
2307,北新路桥,建筑装饰,167,2023-05-31
605598,上海港湾,建筑装饰,167,2023-05-31
600512,腾达建设,建筑装饰,167,2023-05-31
601186,中国铁建,建筑装饰,167,2023-05-31
65,北方国际,建筑装饰,167,2023-05-31
603137,恒尚节能,建筑装饰,167,2023-05-31
2989,中天精装,建筑装饰,167,2023-05-31
2482,*ST广田,建筑装饰,167,2023-05-31
928,中钢国际,建筑装饰,167,2023-05-31
600193,创兴资源,建筑装饰,167,2023-05-31
300500,启迪设计,建筑装饰,167,2023-05-31
300977,深圳瑞捷,建筑装饰,167,2023-05-31
2200,ST交投,建筑装饰,167,2023-05-31
603030,*ST全筑,建筑装饰,167,2023-05-31
2081,金螳螂,建筑装饰,167,2023-05-31
300506,名家汇,建筑装饰,167,2023-05-31
603359,东珠生态,建筑装饰,167,2023-05-31
603357,设计总院,建筑装饰,167,2023-05-31
833427,华维设计,建筑装饰,167,2023-05-31
