stockCode,stockName,sector,sectorCount,date
681,视觉中国,数据确权,28,2023-05-31
688489,三未信安,数据确权,28,2023-05-31
300663,科蓝软件,数据确权,28,2023-05-31
300364,中文在线,数据确权,28,2023-05-31
300212,易华录,数据确权,28,2023-05-31
301169,零点有数,数据确权,28,2023-05-31
600633,浙数文化,数据确权,28,2023-05-31
300079,数码视讯,数据确权,28,2023-05-31
688051,佳华科技,数据确权,28,2023-05-31
600880,博瑞传播,数据确权,28,2023-05-31
300148,天舟文化,数据确权,28,2023-05-31
600225,卓朗科技,数据确权,28,2023-05-31
2354,天娱数科,数据确权,28,2023-05-31
607,华媒控股,数据确权,28,2023-05-31
688579,山大地纬,数据确权,28,2023-05-31
603918,金桥信息,数据确权,28,2023-05-31
300379,东方通,数据确权,28,2023-05-31
2717,岭南股份,数据确权,28,2023-05-31
603636,南威软件,数据确权,28,2023-05-31
2152,广电运通,数据确权,28,2023-05-31
301159,三维天地,数据确权,28,2023-05-31
603721,中广天择,数据确权,28,2023-05-31
603000,人民网,数据确权,28,2023-05-31
2235,安妮股份,数据确权,28,2023-05-31
300468,四方精创,数据确权,28,2023-05-31
688590,新致软件,数据确权,28,2023-05-31
300113,顺网科技,数据确权,28,2023-05-31
2117,东港股份,数据确权,28,2023-05-31
