stockCode,stockName,sector,sectorCount,date
300868,杰美特,跨境电商,77,2023-05-31
600336,澳柯玛,跨境电商,77,2023-05-31
300866,安克创新,跨境电商,77,2023-05-31
300592,华凯易佰,跨境电商,77,2023-05-31
600476,湘邮科技,跨境电商,77,2023-05-31
600439,瑞贝卡,跨境电商,77,2023-05-31
300729,乐歌股份,跨境电商,77,2023-05-31
600630,龙头股份,跨境电商,77,2023-05-31
300994,久祺股份,跨境电商,77,2023-05-31
300993,玉马遮阳,跨境电商,77,2023-05-31
1222,源飞宠物,跨境电商,77,2023-05-31
2599,盛通股份,跨境电商,77,2023-05-31
603613,国联股份,跨境电商,77,2023-05-31
603617,君禾股份,跨境电商,77,2023-05-31
564,ST大集,跨境电商,77,2023-05-31
603408,建霖家居,跨境电商,77,2023-05-31
603056,德邦股份,跨境电商,77,2023-05-31
603059,倍加洁,跨境电商,77,2023-05-31
2277,友阿股份,跨境电商,77,2023-05-31
300209,ST有棵树,跨境电商,77,2023-05-31
632,三木集团,跨境电商,77,2023-05-31
603535,嘉诚国际,跨境电商,77,2023-05-31
601113,华鼎股份,跨境电商,77,2023-05-31
600128,弘业股份,跨境电商,77,2023-05-31
301330,熵基科技,跨境电商,77,2023-05-31
601021,春秋航空,跨境电商,77,2023-05-31
300918,南山智尚,跨境电商,77,2023-05-31
2503,*ST搜特,跨境电商,77,2023-05-31
601156,东航物流,跨境电商,77,2023-05-31
2640,跨境通,跨境电商,77,2023-05-31
300792,壹网壹创,跨境电商,77,2023-05-31
601956,东贝集团,跨境电商,77,2023-05-31
1211,双枪科技,跨境电商,77,2023-05-31
600738,丽尚国潮,跨境电商,77,2023-05-31
603069,海汽集团,跨境电商,77,2023-05-31
600839,四川长虹,跨境电商,77,2023-05-31
600981,汇鸿集团,跨境电商,77,2023-05-31
600693,东百集团,跨境电商,77,2023-05-31
600415,小商品城,跨境电商,77,2023-05-31
2902,铭普光磁,跨境电商,77,2023-05-31
601598,中国外运,跨境电商,77,2023-05-31
300013,新宁物流,跨境电商,77,2023-05-31
300740,水羊股份,跨境电商,77,2023-05-31
2404,嘉欣丝绸,跨境电商,77,2023-05-31
300058,蓝色光标,跨境电商,77,2023-05-31
301187,欧圣电气,跨境电商,77,2023-05-31
300213,佳讯飞鸿,跨境电商,77,2023-05-31
2444,巨星科技,跨境电商,77,2023-05-31
3003,天元股份,跨境电商,77,2023-05-31
2103,广博股份,跨境电商,77,2023-05-31
2803,吉宏股份,跨境电商,77,2023-05-31
2280,联络互动,跨境电商,77,2023-05-31
300781,因赛集团,跨境电商,77,2023-05-31
1209,洪兴股份,跨境电商,77,2023-05-31
300888,稳健医疗,跨境电商,77,2023-05-31
2356,赫美集团,跨境电商,77,2023-05-31
603280,南方路机,跨境电商,77,2023-05-31
2354,天娱数科,跨境电商,77,2023-05-31
2769,普路通,跨境电商,77,2023-05-31
300292,吴通控股,跨境电商,77,2023-05-31
797,中国武夷,跨境电商,77,2023-05-31
2315,焦点科技,跨境电商,77,2023-05-31
2098,浔兴股份,跨境电商,77,2023-05-31
2614,奥佳华,跨境电商,77,2023-05-31
411,英特集团,跨境电商,77,2023-05-31
603709,中源家居,跨境电商,77,2023-05-31
2113,*ST天润,跨境电商,77,2023-05-31
600859,王府井,跨境电商,77,2023-05-31
1238,浙江正特,跨境电商,77,2023-05-31
417,合肥百货,跨境电商,77,2023-05-31
2668,奥马电器,跨境电商,77,2023-05-31
2193,如意集团,跨境电商,77,2023-05-31
300464,星徽股份,跨境电商,77,2023-05-31
600712,南宁百货,跨境电商,77,2023-05-31
300879,大叶股份,跨境电商,77,2023-05-31
301015,百洋医药,跨境电商,77,2023-05-31
600238,海南椰岛,跨境电商,77,2023-05-31
