stockCode,stockName,sector,sectorCount,date
2166,莱茵生物,流感,68,2023-05-09
661,长春高新,流感,68,2023-05-09
2422,科伦药业,流感,68,2023-05-09
623,吉林敖东,流感,68,2023-05-09
600332,白云山,流感,68,2023-05-09
600572,康恩贝,流感,68,2023-05-09
2030,达安基因,流感,68,2023-05-09
2793,罗欣药业,流感,68,2023-05-09
600380,健康元,流感,68,2023-05-09
300723,一品红,流感,68,2023-05-09
688276,百克生物,流感,68,2023-05-09
300147,香雪制药,流感,68,2023-05-09
999,华润三九,流感,68,2023-05-09
300434,金石亚药,流感,68,2023-05-09
600200,江苏吴中,流感,68,2023-05-09
597,东北制药,流感,68,2023-05-09
300142,沃森生物,流感,68,2023-05-09
301024,霍普股份,流感,68,2023-05-09
600201,生物股份,流感,68,2023-05-09
600976,健民集团,流感,68,2023-05-09
300519,新光药业,流感,68,2023-05-09
600129,太极集团,流感,68,2023-05-09
2737,葵花药业,流感,68,2023-05-09
2275,桂林三金,流感,68,2023-05-09
688166,博瑞医药,流感,68,2023-05-09
600467,好当家,流感,68,2023-05-09
688068,热景生物,流感,68,2023-05-09
300086,康芝药业,流感,68,2023-05-09
688399,硕世生物,流感,68,2023-05-09
2435,长江健康,流感,68,2023-05-09
600664,哈药股份,流感,68,2023-05-09
2584,西陇科学,流感,68,2023-05-09
2873,新天药业,流感,68,2023-05-09
600566,济川药业,流感,68,2023-05-09
2022,科华生物,流感,68,2023-05-09
600062,华润双鹤,流感,68,2023-05-09
601607,上海医药,流感,68,2023-05-09
600511,国药股份,流感,68,2023-05-09
688298,东方生物,流感,68,2023-05-09
600518,ST康美,流感,68,2023-05-09
603567,珍宝岛,流感,68,2023-05-09
2603,以岭药业,流感,68,2023-05-09
301207,华兰疫苗,流感,68,2023-05-09
600789,鲁抗医药,流感,68,2023-05-09
2349,精华制药,流感,68,2023-05-09
600196,复星医药,流感,68,2023-05-09
605199,葫芦娃,流感,68,2023-05-09
739,普洛药业,流感,68,2023-05-09
600195,中牧股份,流感,68,2023-05-09
600222,太龙药业,流感,68,2023-05-09
600223,鲁商发展,流感,68,2023-05-09
603739,蔚蓝生物,流感,68,2023-05-09
600557,康缘药业,流感,68,2023-05-09
600267,海正药业,流感,68,2023-05-09
2107,沃华医药,流感,68,2023-05-09
600056,中国医药,流感,68,2023-05-09
300026,红日药业,流感,68,2023-05-09
600085,同仁堂,流感,68,2023-05-09
2317,众生药业,流感,68,2023-05-09
2411,*ST必康,流感,68,2023-05-09
300199,翰宇药业,流感,68,2023-05-09
688739,成大生物,流感,68,2023-05-09
600812,华北制药,流感,68,2023-05-09
688189,南新制药,流感,68,2023-05-09
300158,振东制药,流感,68,2023-05-09
300110,华仁药业,流感,68,2023-05-09
2007,华兰生物,流感,68,2023-05-09
513,丽珠集团,流感,68,2023-05-09
