stockCode,stockName,sector,sectorCount,date
2129,TCL中环,IGBT概念,34,2023-05-09
603290,斯达半导,IGBT概念,34,2023-05-09
600360,华微电子,IGBT概念,34,2023-05-09
600171,上海贝岭,IGBT概念,34,2023-05-09
300623,捷捷微电,IGBT概念,34,2023-05-09
2594,比亚迪,IGBT概念,34,2023-05-09
600745,闻泰科技,IGBT概念,34,2023-05-09
300594,朗进科技,IGBT概念,34,2023-05-09
601766,中国中车,IGBT概念,34,2023-05-09
603212,赛伍技术,IGBT概念,34,2023-05-09
300506,名家汇,IGBT概念,34,2023-05-09
3031,中瓷电子,IGBT概念,34,2023-05-09
605111,新洁能,IGBT概念,34,2023-05-09
603266,天龙股份,IGBT概念,34,2023-05-09
2131,利欧股份,IGBT概念,34,2023-05-09
688261,东微半导,IGBT概念,34,2023-05-09
300046,台基股份,IGBT概念,34,2023-05-09
300656,民德电子,IGBT概念,34,2023-05-09
300831,派瑞股份,IGBT概念,34,2023-05-09
603936,博敏电子,IGBT概念,34,2023-05-09
688187,时代电气,IGBT概念,34,2023-05-09
600584,长电科技,IGBT概念,34,2023-05-09
688711,宏微科技,IGBT概念,34,2023-05-09
600406,国电南瑞,IGBT概念,34,2023-05-09
300373,扬杰科技,IGBT概念,34,2023-05-09
733,振华科技,IGBT概念,34,2023-05-09
688396,华润微,IGBT概念,34,2023-05-09
688551,科威尔,IGBT概念,34,2023-05-09
600460,士兰微,IGBT概念,34,2023-05-09
581,威孚高科,IGBT概念,34,2023-05-09
688022,瀚川智能,IGBT概念,34,2023-05-09
300303,聚飞光电,IGBT概念,34,2023-05-09
2049,紫光国微,IGBT概念,34,2023-05-09
601616,广电电气,IGBT概念,34,2023-05-09
