stockCode,stockName,sector,sectorCount,date
600048,保利发展,租售同权,20,2023-05-09
300295,三六五网,租售同权,20,2023-05-09
671,ST阳光城,租售同权,20,2023-05-09
600325,华发股份,租售同权,20,2023-05-09
2,万科Ａ,租售同权,20,2023-05-09
11,深物业A,租售同权,20,2023-05-09
600604,市北高新,租售同权,20,2023-05-09
600895,张江高科,租售同权,20,2023-05-09
2244,滨江集团,租售同权,20,2023-05-09
2305,南国置业,租售同权,20,2023-05-09
56,皇庭国际,租售同权,20,2023-05-09
2285,世联行,租售同权,20,2023-05-09
90,天健集团,租售同权,20,2023-05-09
2574,明牌珠宝,租售同权,20,2023-05-09
732,ST泰禾,租售同权,20,2023-05-09
863,三湘印象,租售同权,20,2023-05-09
560,我爱我家,租售同权,20,2023-05-09
1979,招商蛇口,租售同权,20,2023-05-09
2377,国创高新,租售同权,20,2023-05-09
300621,维业股份,租售同权,20,2023-05-09
