stockCode,stockName,sector,sectorCount,date
300588,熙菱信息,时空大数据,16,2023-05-09
301221,光庭信息,时空大数据,16,2023-05-09
2298,中电兴发,时空大数据,16,2023-05-09
301169,零点有数,时空大数据,16,2023-05-09
603559,ST通脉,时空大数据,16,2023-05-09
300047,天源迪科,时空大数据,16,2023-05-09
300036,超图软件,时空大数据,16,2023-05-09
925,众合科技,时空大数据,16,2023-05-09
300324,旋极信息,时空大数据,16,2023-05-09
300053,欧比特,时空大数据,16,2023-05-09
300177,中海达,时空大数据,16,2023-05-09
600118,中国卫星,时空大数据,16,2023-05-09
688066,航天宏图,时空大数据,16,2023-05-09
301136,招标股份,时空大数据,16,2023-05-09
300287,飞利信,时空大数据,16,2023-05-09
688509,正元地信,时空大数据,16,2023-05-09
