stockCode,stockName,sector,sectorCount,date
688566,吉贝尔,熊去氧胆酸,21,2023-05-09
601607,上海医药,熊去氧胆酸,21,2023-05-09
300583,赛托生物,熊去氧胆酸,21,2023-05-09
2422,科伦药业,熊去氧胆酸,21,2023-05-09
300485,赛升药业,熊去氧胆酸,21,2023-05-09
300584,海辰药业,熊去氧胆酸,21,2023-05-09
2317,众生药业,熊去氧胆酸,21,2023-05-09
600079,人福医药,熊去氧胆酸,21,2023-05-09
600332,白云山,熊去氧胆酸,21,2023-05-09
756,新华制药,熊去氧胆酸,21,2023-05-09
600572,康恩贝,熊去氧胆酸,21,2023-05-09
300039,上海凯宝,熊去氧胆酸,21,2023-05-09
600624,复旦复华,熊去氧胆酸,21,2023-05-09
688247,宣泰医药,熊去氧胆酸,21,2023-05-09
600781,*ST辅仁,熊去氧胆酸,21,2023-05-09
300436,广生堂,熊去氧胆酸,21,2023-05-09
688179,阿拉丁,熊去氧胆酸,21,2023-05-09
2398,垒知集团,熊去氧胆酸,21,2023-05-09
2550,千红制药,熊去氧胆酸,21,2023-05-09
300966,共同药业,熊去氧胆酸,21,2023-05-09
600062,华润双鹤,熊去氧胆酸,21,2023-05-09
